appid,name,playing_time,playtime_date,creation_time
553850,HELLDIVERS™ 2,194,2025-11-09,2025-11-10 01:01:15.246881+08:00
3991920,Million Depth Demo,14,2025-11-09,2025-11-10 01:01:15.246881+08:00
2312660,Skate Story Demo,6,2025-11-09,2025-11-10 01:01:15.246881+08:00
3754930,Raiders of Blackveil Demo,5,2025-11-09,2025-11-10 01:01:15.246881+08:00
4024480,Minos Demo,5,2025-11-09,2025-11-10 01:01:15.246881+08:00
3963920,Next Run Demo,4,2025-11-09,2025-11-10 01:01:15.246881+08:00
3485450,The Serpent and the Crow Demo,4,2025-11-09,2025-11-10 01:01:15.246881+08:00
2234830,A Sister's Journey Demo,3,2025-11-09,2025-11-10 01:01:15.246881+08:00
3738990,MotionRec Demo,3,2025-11-09,2025-11-10 01:01:15.246881+08:00
3727400,Morsels Demo,3,2025-11-09,2025-11-10 01:01:15.246881+08:00
2106310,Scrabdackle Demo,1,2025-11-09,2025-11-10 01:01:15.246881+08:00
3972400,Relooted Demo,1,2025-11-09,2025-11-10 01:01:15.246881+08:00
