appid,name,playing_time,playtime_date,creation_time
553850,HELLDIVERS™ 2,125,2025-10-25,2025-10-26 01:01:23.176886+08:00
582010,Monster Hunter: World,3,2025-10-25,2025-10-26 01:01:23.176886+08:00
3419430,Bongo Cat,575,2025-10-25,2025-10-26 01:01:23.176886+08:00
3969380,Demeo x Dungeons & Dragons: Battlemarked Demo,71,2025-10-25,2025-10-26 01:01:23.176886+08:00
3241970,Heroes of Might and Magic: Olden Era Demo,19,2025-10-25,2025-10-26 01:01:23.176886+08:00
2432870,MENACE Demo,10,2025-10-25,2025-10-26 01:01:23.176886+08:00
3374500,Snow Ash Demo,8,2025-10-25,2025-10-26 01:01:23.176886+08:00
