appid,name,playing_time,playtime_date,creation_time
219890,Antichamber,3,2025-10-23,2025-10-24 01:01:26.807519+08:00
250760,Shovel Knight: Treasure Trove,3,2025-10-23,2025-10-24 01:01:26.807519+08:00
427410,Abiotic Factor,2,2025-10-23,2025-10-24 01:01:26.807519+08:00
466300,Planescape: Torment: Enhanced Edition,21,2025-10-23,2025-10-24 01:01:26.807519+08:00
552990,World of Warships,7,2025-10-23,2025-10-24 01:01:26.807519+08:00
576770,Low Magic Age,1,2025-10-23,2025-10-24 01:01:26.807519+08:00
1172470,Apex Legends,4,2025-10-23,2025-10-24 01:01:26.807519+08:00
1177980,"Little Kitty, Big City",1,2025-10-23,2025-10-24 01:01:26.807519+08:00
1245430,Golden Light,2,2025-10-23,2025-10-24 01:01:26.807519+08:00
1546790,"Peace, Death! 2",1,2025-10-23,2025-10-24 01:01:26.807519+08:00
1581770,SpellForce: Conquest of Eo,6,2025-10-23,2025-10-24 01:01:26.807519+08:00
1718570,ASTLIBRA ～生きた証～ Revision,15,2025-10-23,2025-10-24 01:01:26.807519+08:00
1885110,Cryptmaster,2,2025-10-23,2025-10-24 01:01:26.807519+08:00
2186680,"Warhammer 40,000: Rogue Trader",5,2025-10-23,2025-10-24 01:01:26.807519+08:00
3167020,Escape From Duckov,141,2025-10-23,2025-10-24 01:01:26.807519+08:00
3419430,Bongo Cat,96,2025-10-23,2025-10-24 01:01:26.807519+08:00
