appid,name,playing_time,playtime_date,creation_time
207080,Indie Game: The Movie,92,2025-10-01,2025-10-02 01:01:23.178844+08:00
219890,Antichamber,115,2025-10-01,2025-10-02 01:01:23.178844+08:00
230070,The Age of Decadence,92,2025-10-01,2025-10-02 01:01:23.178844+08:00
250760,Shovel Knight: Treasure Trove,84,2025-10-01,2025-10-02 01:01:23.178844+08:00
255300,Journey of a Roach,122,2025-10-01,2025-10-02 01:01:23.178844+08:00
357070,UBERMOSH,98,2025-10-01,2025-10-02 01:01:23.178844+08:00
427410,Abiotic Factor,104,2025-10-01,2025-10-02 01:01:23.178844+08:00
466300,Planescape: Torment: Enhanced Edition,99,2025-10-01,2025-10-02 01:01:23.178844+08:00
546090,Trip to Vinelands,102,2025-10-01,2025-10-02 01:01:23.178844+08:00
552990,World of Warships,104,2025-10-01,2025-10-02 01:01:23.178844+08:00
576770,Low Magic Age,85,2025-10-01,2025-10-02 01:01:23.178844+08:00
691830,Avernum 3: Ruined World,164,2025-10-01,2025-10-02 01:01:23.178844+08:00
701470,TTV2,103,2025-10-01,2025-10-02 01:01:23.178844+08:00
841600,Aura of Worlds,110,2025-10-01,2025-10-02 01:01:23.178844+08:00
844590,Hypnospace Outlaw,110,2025-10-01,2025-10-02 01:01:23.178844+08:00
962580,Summer in Mara,87,2025-10-01,2025-10-02 01:01:23.178844+08:00
1172470,Apex Legends,231,2025-10-01,2025-10-02 01:01:23.178844+08:00
1177980,"Little Kitty, Big City",98,2025-10-01,2025-10-02 01:01:23.178844+08:00
1404850,Luck be a Landlord,87,2025-10-01,2025-10-02 01:01:23.178844+08:00
1416960,Everafter Falls,175,2025-10-01,2025-10-02 01:01:23.178844+08:00
1546790,"Peace, Death! 2",104,2025-10-01,2025-10-02 01:01:23.178844+08:00
1581770,SpellForce: Conquest of Eo,87,2025-10-01,2025-10-02 01:01:23.178844+08:00
1718570,ASTLIBRA ～生きた証～ Revision,39,2025-10-01,2025-10-02 01:01:23.178844+08:00
1836120,QUICKERFLAK,93,2025-10-01,2025-10-02 01:01:23.178844+08:00
2186680,"Warhammer 40,000: Rogue Trader",87,2025-10-01,2025-10-02 01:01:23.178844+08:00
3419430,Bongo Cat,510,2025-10-01,2025-10-02 01:01:23.178844+08:00
