appid,name,playing_time,playtime_date,creation_time
553850,HELLDIVERS™ 2,67,2025-11-02,2025-11-03 01:01:18.519711+08:00
2350470,Kriegsfront Tactics Demo,19,2025-11-02,2025-11-03 01:01:18.519711+08:00
4072000,Fail Fail Succeed Demo,18,2025-11-02,2025-11-03 01:01:18.519711+08:00
3951830,Life Slash Death Demo,15,2025-11-02,2025-11-03 01:01:18.519711+08:00
3448280,Gothic 1 Remake - Demo (Nyras Prologue),12,2025-11-02,2025-11-03 01:01:18.519711+08:00
3949050,Frontline Logistics: Isarian Warfare Demo,12,2025-11-02,2025-11-03 01:01:18.519711+08:00
3840730,Gunny Ascend Demo,7,2025-11-02,2025-11-03 01:01:18.519711+08:00
3727860,Felbound: Prologue,6,2025-11-02,2025-11-03 01:01:18.519711+08:00
3549400,Insectile Demo,5,2025-11-02,2025-11-03 01:01:18.519711+08:00
3667900,Hand of Hexes Demo,5,2025-11-02,2025-11-03 01:01:18.519711+08:00
3833390,GNAW Demo,2,2025-11-02,2025-11-03 01:01:18.519711+08:00
