appid,name,playing_time,playtime_date,creation_time
553850,HELLDIVERS™ 2,288,2025-11-01,2025-11-02 01:01:00.000632+08:00
582010,Monster Hunter: World,10,2025-11-01,2025-11-02 01:01:00.000632+08:00
3758770,Ember and Blade Demo,30,2025-11-01,2025-11-02 01:01:00.000632+08:00
3391050,Crown and Adventure / 王冠与冒险  Demo,13,2025-11-01,2025-11-02 01:01:00.000632+08:00
3185680,Dobbel Dungeon Demo,8,2025-11-01,2025-11-02 01:01:00.000632+08:00
4062610,DEG Demo,8,2025-11-01,2025-11-02 01:01:00.000632+08:00
3307570,Crown of Greed Demo,7,2025-11-01,2025-11-02 01:01:00.000632+08:00
4048640,Earth of Oryn Demo,6,2025-11-01,2025-11-02 01:01:00.000632+08:00
3726280,Dragon Shelter Demo,6,2025-11-01,2025-11-02 01:01:00.000632+08:00
3742020,Don't Wake Up My Dream Demo,5,2025-11-01,2025-11-02 01:01:00.000632+08:00
4057580,Curse of Pirates Demo,5,2025-11-01,2025-11-02 01:01:00.000632+08:00
2796120,Dead Weight Demo,4,2025-11-01,2025-11-02 01:01:00.000632+08:00
